Family,Genus,Species,Virus name(s),Genome composition,Host source
Inoviridae,Villovirus,Villovirus VALG8,Vibrio phage VALG_phi8,ssDNA(+),bacteria
Inoviridae,Villovirus,Villovirus Vf33,Vibrio phage Vf33,ssDNA(+),bacteria
Inoviridae,Villovirus,Villovirus Vf33,Vibrio phage Vf12,ssDNA(+),bacteria
Inoviridae,Xylivirus,Xylivirus XacF13,Vibrio phage XacF13,ssDNA(+),bacteria
Inoviridae,Xylivirus,Xylivirus Xf109,Xanthomonas phage Xf109,ssDNA(+),bacteria
Inoviridae,Xylivirus,Xylivirus Xf109,Xanthomonas phage Xf409,ssDNA(+),bacteria
Paulinoviridae,Bifilivirus,Bifilivirus B5,Propionibacterium phage B5,ssDNA(+),bacteria
Paulinoviridae,Thomixvirus,Thomixvirus OH3,Thermus phage OH3,ssDNA(+),bacteria
Plectroviridae,Plectrovirus,Plectrovirus L51,Acholeplasma phage MV-L1,ssDNA(+),bacteria
Plectroviridae,Plectrovirus,Plectrovirus L51,Acholeplasma phage MV-L51,ssDNA(+),bacteria
Plectroviridae,Suturavirus,Suturavirus SVTS2,Spiroplasma phage SVTS2,ssDNA(+),bacteria
Plectroviridae,Vespertiliovirus,Vespertiliovirus C74,Spiroplasma phage 1-C74,ssDNA(+),bacteria
Plectroviridae,Vespertiliovirus,Vespertiliovirus R8A2B,Spiroplasma phage 1-R8A2B,ssDNA(+),bacteria
Plectroviridae,Vespertiliovirus,Vespertiliovirus SkV1CR23x,Spiroplasma phage SkV1CR23x,ssDNA(+),bacteria
Plectroviridae,Virgulavirus,Virgulavirus SVGII3,Spiroplama phage SVGII3,ssDNA(+),bacteria
Microviridae,Alphatrevirus,Alphatrevirus alpha3,Escherichia phage alpha3,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus ID21,Escherichia phage ID21,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus ID32,Escherichia phage ID32,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus ID62,Escherichia phage ID62,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus NC28,Escherichia phage NC28,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus NC29,Escherichia phage NC29,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus NC35,Escherichia phage NC35,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus phiK,Escherichia phage phiK,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus St1,Escherichia phage St-1,ssDNA,bacteria
Microviridae,Alphatrevirus,Alphatrevirus WA45,Escherichia phage WA45,ssDNA,bacteria
Microviridae,Gequatrovirus,Gequatrovirus G4,Escherichia phage G4,ssDNA,bacteria
Microviridae,Gequatrovirus,Gequatrovirus ID52,Escherichia phage ID52,ssDNA,bacteria
Microviridae,Gequatrovirus,Gequatrovirus talmos,Escherichia phage ID2 Moscow/ID/2001,ssDNA,bacteria
Microviridae,Sinsheimervirus,Sinsheimervirus phiX174,Escherichia phage phiX174,ssDNA,bacteria
Microviridae,Bdellomicrovirus,Bdellomicrovirus MH2K,Bdellovibrio phage phiMH2K,ssDNA,bacteria
Microviridae,Bdellomicrovirus,Bdellovibrio virus MAC1,Bdellovibrio phage MAC1,ssDNA,bacteria
Microviridae,Chlamydiamicrovirus,Chlamydiamicrovirus Chp1,Chlamydia phage Chp1,ssDNA,bacteria
Microviridae,Chlamydiamicrovirus,Chlamydiamicrovirus Chp2,Chlamydia phage 2,ssDNA,bacteria
Microviridae,Chlamydiamicrovirus,Chlamydiamicrovirus CPAR39,Chlamydia phage phiCPAR39,ssDNA,bacteria
Microviridae,Chlamydiamicrovirus,Chlamydiamicrovirus CPG1,Chlamydia phage CPG1,ssDNA,bacteria
Microviridae,Enterogokushovirus,Enterogokushovirus EC6098,Escherichia phage EC6098,ssDNA(+),bacteria
Microviridae,Spiromicrovirus,Spiromicrovirus SpV4,Spiroplasma phage 4,ssDNA,bacteria
Bidnaviridae,Bidensovirus,Bombyx mori bidensovirus,Bombyx mori bidensovirus,ssDNA,invertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus acelebensis,bat polyomavirus 5b2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus aflavicollis,Apodemus flavicollis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus apaniscus,Ateles paniscus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus callosciuri,Callosciurus erythraeus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus cardiodermae,Cardioderma polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus carolliae,bat polyomavirus 4b,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus chlopygerythrus,vervet monkey polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus dobsoniae,bat polyomavirus 5a,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus eidoli,Eidolon polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus gorillae,Gorilla gorilla gorilla polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus macacae,Macaca fascicularis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus mauratus,hamster polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus mischreibersii,Miniopterus schreibersii polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus molossi,bat polyomavirus 3b,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus muris,mouse polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus nonihominis,human polyomavirus 9,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus octihominis,Trichodysplasia spinulosa-associated polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus omartiensseni,Otomops polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus pacynocephalus,yellow baboon polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus panos,chimpanzee polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus philantombae,Philantomba monticola polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus pibadius,Piliocolobus badius polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus pirufomitratus,Piliocolobus rufomitratus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus ponabelii,Sumatran orang-utan polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus ponpygmaeus,Bornean orang-utan polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus procyonis,raccoon polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus ptevampyrus,bat polyomavirus 5b1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus quardecihominis,LI polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus quartipanos,Pan troglodytes verus polyomavirus 3,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus quintihominis,Merkel cell polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus quintipanos,Pan troglodytes verus polyomavirus 4,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus ranorvegicus,Rattus norvegicus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus saraneus,Sorex araneus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus secarplanirostris,bat polyomavirus 3a,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus secomartiensseni,Otomops polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus secumastomysis,Mastomys natalensis polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus secumischreibersii,Miniopterus schreibersii polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus secupanos,Pan troglodytes verus polyomavirus 1a,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus septipanos,Pan troglodytes schweinfurthii polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus sextipanos,Pan troglodytes verus polyomavirus 5,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus socoronatus,Sorex coronatus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus sominutus,Sorex minutus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus sturnirae,bat polyomavirus 3a-B0454,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus suis,Sus scrofa polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus terdecihominis,New Jersey polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tertarplanisrostris,bat polyomavirus 4a,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tertichlopygerythrus,vervet monkey polyomavirus 3,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tertimastomysis,Mastomys natalensis polyomavirus 3,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tertipanos,Pan troglodytes verus polyomavirus 2a,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tubelangeri,Tupaia belangeri polyomavirus,dsDNA,vertebrates
Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus tuglis,Tupaia glis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus arplanirostris,bat polyomavirus 2c,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus calbifrons,Cebus albifrons polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus callosciuri,Callosciurus prevostii polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus canis,Canis familiaris polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus cercopitheci,Cercopithecus erythrotis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus desrotundus,bat polyomavirus 2a,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus elephanti,African elephant polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus enhydrae,sea otter polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus equi,equine polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus gliris,Glis glis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus hominis,BK polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus leporis,Lepus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus lepweddellii,Weddell seal polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus macacae,simian virus 40,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus mafricanus,Miniopterus polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus marvalis,Microtus arvalis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus mastomysis,Mastomys polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus meletis,Meles meles polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus myoglareolus,Myodes glareolus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus myolucifugus,Myotis polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus octipanos,Pan troglodytes verus polyomavirus 8,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus pantherae,Panthera leo polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus ptedavyi,Pteronotus polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus pteparnellii,bat polyomavirus 2b,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus quartihominis,WU polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus raegyptiacus,Rousettus aegyptiacus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus saboliviensis,squirrel monkey polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus sasciureus,Saimiri sciureus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus sciuri,Sciurus carolinensis polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secacelebensis,bat polyomavirus 6a,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secuchlopygerythrus,vervet monkey polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secudobsoniae,bat polyomavirus 6b,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secuhominis,JC polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secumuris,mouse pneumotropic virus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus secupacynocephalus,yellow baboon polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus securanorvegicus,rat polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus tertidobsoniae,bat polyomavirus 6c,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus tertihominis,KI polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus tertimuris,Mus musculus polyomavirus 3,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus vicugnae,alpaca polyomavirus,dsDNA,vertebrates
Polyomaviridae,Betapolyomavirus,Betapolyomavirus zacalifornianus,California sea lion polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus ailuropodae,giant panda polyomavirus,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus canis,Canis lupus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus decihominis,MW polyomavirus,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus secuprocyonis,raccoon-associated polyomavirus 2,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus septihominis,human polyomavirus 7,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus sextihominis,human polyomavirus 6,dsDNA,vertebrates
Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus undecihominis,STL polyomavirus,dsDNA,vertebrates
Polyomaviridae,Epsilonpolyomavirus,Epsilonpolyomavirus bovis,bovine polyomavirus,dsDNA,vertebrates
Polyomaviridae,Epsilonpolyomavirus,Epsilonpolyomavirus caprae,Capra aegragus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Epsilonpolyomavirus,Epsilonpolyomavirus poporcus,Potamochoerus porcus polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Etapolyomavirus,Etapolyomavirus rhyndjiddensis,giant guitarfish polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus anseris,goose hemorrhagic polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus avis,budgerigar fledgling disease virus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus corvi,crow polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus cratorquatus,butcherbird polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus egouldiae,Erythrura gouldiae polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus lonmaja,Hungarian finch polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus padeliae,Ad¨¦lie penguin polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus pypyrrhula,finch polyomavirus,dsDNA,vertebrates
Polyomaviridae,Gammapolyomavirus,Gammapolyomavirus secanaria,canary polyomavirus,dsDNA,vertebrates
Polyomaviridae,Thetapolyomavirus,Thetapolyomavirus censtriata,black sea bass-associated polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Thetapolyomavirus,Thetapolyomavirus spari,Sparus aurata polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Thetapolyomavirus,Thetapolyomavirus trebernacchii,emerald notothen polyomavirus 1,dsDNA,vertebrates
Polyomaviridae,Thetapolyomavirus,Thetapolyomavirus trepennellii,sharp-spined notothenia polyomavirus,dsDNA,vertebrates
Polyomaviridae,Zetapolyomavirus,Zetapolyomavirus delphini,dolphin polyomavirus 1,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 1,human papillomavirus 32,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 1,human papillomavirus 42,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 10,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 160,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 94,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 125,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 117,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 78,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 28,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 29,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 3,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,human papillomavirus 77,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 61,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 83,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 84,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 86,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 89,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 87,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 81,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 62,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 102,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 114,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 72,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 4,human papillomavirus 2,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 4,human papillomavirus 57,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 4,human papillomavirus 27,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,human papillomavirus 26,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,human papillomavirus 69,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,human papillomavirus 82,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,human papillomavirus 51,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,human papillomavirus 30,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,human papillomavirus 66,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,human papillomavirus 53,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,human papillomavirus 56,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 18,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 85,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 68,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 97,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 39,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 70,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 45,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,human papillomavirus 59,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 8,human papillomavirus 7,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 8,human papillomavirus 91,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 8,human papillomavirus 43,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 8,human papillomavirus 40,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 16,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 67,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 58,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 31,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 33,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 35,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,human papillomavirus 52,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,human papillomavirus 6,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,human papillomavirus 74,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,human papillomavirus 11,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,human papillomavirus 44,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,human papillomavirus 13,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,Pan paniscus papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 11,human papillomavirus 34,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 11,human papillomavirus 73,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca mulata papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 7,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 3,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 6,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 4,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 8,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 5,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 10,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 9,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fascicularis papillomavirus 11,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Papio hamadryas papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,Macaca fuscata papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 13,human papillomavirus 54,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,human papillomavirus 71,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,human papillomavirus 90,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,human papillomavirus 106,dsDNA,vertebrates
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,Colobus guereza papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,human papillomavirus 5,dsDNA,vertebrates
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,human papillomavirus 93,dsDNA,vertebrates
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,Macaca fascicularis papillomavirus 1,dsDNA,vertebrates
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,human papillomavirus 98,dsDNA,vertebrates
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,human papillomavirus 99,dsDNA,vertebrates
